,Name,Age,Department,Salary,YearsWorked,promoted,Normalized_salary
0,Ahmed,28.0,Engineering,75000.0,5.0,1,1.0
1,Sara,31.428571428571427,Marketing,62000.0,3.0,0,0.43478260869565216
2,John,35.0,Engineering,64555.555555555555,8.0,1,0.5458937198067633
3,Mia,29.0,HR,58000.0,4.0,0,0.2608695652173913
4,Ali,42.0,Marketing,71000.0,4.444444444444445,1,0.8260869565217391
5,Ahmed,28.0,Engineering,75000.0,5.0,0,1.0
6,Bob,31.0,HR,58000.0,4.0,1,0.2608695652173913
7,Sara,31.428571428571427,Marketing,62000.0,3.0,0,0.43478260869565216
8,Anne,27.0,Engineering,68000.0,2.0,1,0.6956521739130435
9,Mike,31.428571428571427,Sales,52000.0,6.0,0,0.0
